		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  261  272  275  265  239  248  229  8.781713 0.361044 SUCCESS   0
000000011  239  258  264  275  223  242  242  253  7.744655 0.458802 SUCCESS   1
000000101  279  266  239  239  256  251  272  258  7.968073 0.436595 SUCCESS   2
000000111  242  260  254  250  229  247  249  252  2.625042 0.955645 SUCCESS   3
000001001  258  259  237  269  264  251  264  278  7.672768 0.466070 SUCCESS   4
000001011  286  238  252  233  258  247  246  249  7.543604 0.479271 SUCCESS   5
000001101  252  251  243  243  256  241  249  262  1.509762 0.992545 SUCCESS   6
000001111  252  259  261  240  259  238  246  254  2.330513 0.969166 SUCCESS   7
000010001  221  210  230  261  264  264  221  219 21.318085 0.006349 FAILURE   8
000010011  246  258  233  263  242  253  251  259  2.867855 0.942375 SUCCESS   9
000010101  287  254  229  264  258  254  242  243  9.168299 0.328298 SUCCESS  10
000010111  267  250  253  224  269  227  218  262 12.540646 0.128662 SUCCESS  11
000011001  245  236  239  251  261  253  271  223  6.794998 0.558904 SUCCESS  12
000011011  252  238  249  247  234  260  252  244  2.289010 0.970845 SUCCESS  13
000011101  234  254  248  241  253  262  261  247  2.647927 0.954476 SUCCESS  14
000011111  263  261  266  246  252  243  236  261  3.859661 0.869558 SUCCESS  15
000100011  242  223  242  269  246  283  228  229 13.433285 0.097786 SUCCESS  16
000100101  241  252  266  258  268  225  235  260  6.947305 0.542329 SUCCESS  17
000100111  237  264  241  275  249  264  244  235  6.327216 0.610630 SUCCESS  18
