		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000011011  254  250  268  255  239  253  237  263  3.448897 0.903119 SUCCESS  13
000011101  244  264  242  251  246  230  244  243  3.296978 0.914363 SUCCESS  14
000011111  245  251  253  231  261  256  225  251  4.874481 0.770904 SUCCESS  15
000100011  232  242  258  243  274  270  281  234 11.150489 0.193317 SUCCESS  16
000100101  262  239  247  290  250  270  255  263 10.220873 0.249865 SUCCESS  17
000100111  246  276  254  261  279  249  240  261  7.836453 0.449607 SUCCESS  18
000101001  271  251  241  223  249  232  252  235  7.466158 0.487271 SUCCESS  19
000101011  252  238  237  252  232  230  243  234  5.574861 0.694733 SUCCESS  20
000101101  236  256  244  243  238  246  267  244  3.314820 0.913077 SUCCESS  21
000101111  273  251  250  261  259  245  242  249  3.404808 0.906451 SUCCESS  22
